date,time_local,depth_in,how,note
2026-09-15,14:05,0,estimated,"guessed; he arrived about 2:10 and thought it had covered shortly before"
2026-09-15,14:15,7,tape,
2026-09-15,14:18,8,tape,
2026-09-15,14:23,9,tape,
2026-09-15,14:31,10,tape,
2026-09-15,14:41,12,tape,
2026-09-15,14:49,13.5,tape,
2026-09-15,15:00,13.5,tape,
2026-09-15,15:20,13,tape,
2026-09-15,15:35,11,tape,
2026-09-15,16:10,0,estimated,"guessed; he left about 4:00 with the water going down slowly"
2026-09-16,14:54,3,tape,"from the site report form (Noel, sent 3:32pm); site forecast at that moment ~1 in; Boston-gauge estimate ~1.6 in"
